"Order ID",1,2,3,4,5
300097155,Completed,42,-0.95,41.05,
300097138,Completed,22.4,-0.58,21.82,
300097128,Completed,108.8,-2.27,106.53,
300097108,Completed,25.5,-0.68,24.82,
300097107,Completed,21.2,-0.6,20.6,
300097098,Completed,90,-1.86,88.14,
300097078,Completed,29.7,-0.71,28.99,
300097059,Completed,79.2,-1.7,77.5,
300097055,Refunded,162,-3.23,158.77,
300097053,Completed,52.2,-1.19,51.01,
300097022,Completed,239.2,-5.89,233.31,
300096994,Completed,32.4,-0.77,31.63,
300096991,Completed,91,-3.19,87.81,
300096990,Completed,79.2,-1.65,77.55,
300096974,Completed,77.88,-1.68,76.2,
300096955,Completed,32.4,-0.82,31.58,
300096947,Completed,116.11,-2.36,113.75,
300096943,Completed,36,-0.83,35.17,
300096937,Completed,131,-2.64,128.36,
300096929,Completed,35,-0.82,34.18,
300096923,Completed,88,-1.82,86.18,
300096915,Completed,28,-0.68,27.32,
300096903,Completed,41.65,-0.94,40.71,
300096891,Completed,30.29,-0.78,29.51,
300096866,Completed,8,-0.3,7.7,
300096858,Completed,16.52,-0.46,16.06,
300096844,Completed,63,-1.4,61.6,
300096840,Completed,34.02,-0.85,33.17,
300096836,Completed,42.5,-1.49,41.01,
300096833,Completed,66.37,-1.46,64.91,
300096831,Completed,718.4,-17.39,701.01,
300096829,"Partially Refunded",34.68,-0.86,33.82,
300096821,Completed,57.8,-1.3,56.5,
300096815,Completed,160.92,-3.26,157.66,
300096773,Completed,13.5,-0.41,13.09,
300096734,Completed,26,-0.69,25.31,
300096733,Completed,15,-0.49,14.51,
300096713,Completed,45,-1.58,43.42,
300096697,Completed,34.02,-0.85,33.17,
300096631,"Partially Refunded",115.15,-4.03,111.12,
300096627,Completed,58,-1.3,56.7,
300096592,Completed,23.8,-0.65,23.15,
300096591,Completed,15.2,-0.49,14.71,
300096590,Completed,22.95,-0.64,22.31,
300096582,Completed,92.05,-1.9,90.15,
300096573,Completed,403.92,-7.82,396.1,
300096556,Completed,201.2,-4.02,197.18,
300096554,Completed,32.13,-0.76,31.37,
300096549,Completed,68.85,-1.51,67.34,
300096546,Completed,34,-0.85,33.15,
300096506,Completed,32.3,-0.76,31.54,
300096491,Completed,588,-11.32,576.68,
300096486,Completed,21.25,-0.6,20.65,
300096482,Completed,23.8,-0.6,23.2,
300096472,Completed,35,-0.82,34.18,
300096439,Completed,42.95,-1.02,41.93,
300093391,Completed,107,-2.23,104.77,
300093383,Completed,17.1,-0.47,16.63,
300093373,Completed,54.45,-1.23,53.22,
300093366,Completed,38.7,-0.94,37.76,
300093340,Completed,74.7,-1.57,73.13,
300093300,Completed,63.18,-1.4,61.78,
300093293,Completed,95,-3.33,91.67,
300093234,Completed,97,-1.99,95.01,
300093227,Completed,38.88,-0.94,37.94,
300093195,Completed,236.3,-5.82,230.48,
300093191,Completed,103,-2.16,100.84,
300093187,Completed,13.5,-0.46,13.04,
300093166,Completed,34.2,-0.85,33.35,
300093161,Completed,56.38,-1.27,55.11,
300093144,Completed,63.9,-1.36,62.54,
300093141,Completed,134.56,-2.76,131.8,
300093138,Completed,54,-1.89,52.11,
300093116,Cleared,29.61,-0.71,28.9,
300093103,Completed,113.72,-2.36,111.36,
300093092,Completed,64.15,-1.37,62.78,
300093061,Refunded,16.2,-0.46,15.74,
300093078,Refunded,22.68,-0.63,22.05,
300093202,Refunded,18.9,-0.6,18.3,
300093532,Refunded,111.25,-3.89,107.36,
300093630,Refunded,39.1,-0.89,38.21,
300093790,Refunded,45,-1.06,43.94,
300093848,Refunded,78.2,-1.64,76.56,
300093971,Refunded,82.8,-1.72,81.08,
300094514,Refunded,40.5,-0.92,39.58,
300094663,Refunded,68.4,-1.5,66.9,
300094740,Refunded,59.4,-1.58,57.82,
300094743,Refunded,95.26,-2.01,93.25,
