 Invoice Number, Status, Gross, Fee, Net, Reserve
300099085,Completed,57.6,-1.24,56.36,
,Placed,-0.82,...,-0.82,
,Completed,2.81,0,2.81,
,Completed,-117,2.81,-114.19,
,Completed,1.12,0,1.12,
,Completed,-59,1.12,-57.88,
300099084,Completed,17,-0.52,16.48,
,Placed,-2.59,...,-2.59,
,Completed,0.11,0,0.11,
,Completed,-5.95,0.11,-5.84,
,Completed,0.11,0,0.11,
,Completed,-5.95,0.11,-5.84,
300099083,Completed,52.92,-1.16,51.76,
,Completed,0.98,0,0.98,
,Completed,-40.8,0.98,-39.82,
,Released,1.99,...,1.99,
,Released,3.47,...,3.47,
,Completed,1.5,0,1.5,
,Completed,-70.96,1.5,-69.46,
,Completed,0.58,0,0.58,
,Completed,-19.8,0.58,-19.22,
,Released,0.96,...,0.96,
,Completed,0.1,0,0.1,
,Completed,-5.6,0.1,-5.5,
,Completed,0.48,0,0.48,
,Completed,-25.2,0.48,-24.72,
,Completed,0.23,0,0.23,
,Completed,-9.5,0.23,-9.27,
,Completed,1.88,0,1.88,
,Completed,-99.14,1.88,-97.26,
,Completed,-42,0,-42,
,Completed,0.48,0,0.48,
,Completed,-25,0.48,-24.52,
,Completed,0.74,0,0.74,
,Completed,-38.7,0.74,-37.96,
,Completed,1.32,0,1.32,
,Completed,-69.3,1.32,-67.98,
,Completed,4.83,0,4.83,
,Completed,-254.35,4.83,-249.52,
,Completed,0.17,0,0.17,
,Completed,-9,0.17,-8.83,
,Completed,0.51,0,0.51,
,Completed,-27,0.51,-26.49,
,Completed,1.74,0,1.74,
,Completed,-72.5,1.74,-70.76,
,Completed,1.51,0,1.51,
,Completed,-79.2,1.51,-77.69,
,Completed,0.29,0,0.29,
,Completed,-15.3,0.29,-15.01,
,Placed,-0.84,...,-0.84,
300099082,Completed,17.28,-0.53,16.75,
,Placed,-7.62,...,-7.62,
,Placed,-4.78,...,-4.78,
,Placed,-2.62,...,-2.62,
300099081,Completed,53.55,-1.22,52.33,
300099080,Completed,157.95,-5.53,152.42,
300099079,Completed,97.65,-2.01,95.64,
,Placed,-0.97,...,-0.97,
,Placed,-5.16,...,-5.16,
300099077,Completed,20,-0.58,19.42,
300099076,Completed,105.3,-2.2,103.1,
,Placed,-2.32,...,-2.32,
300099075,Completed,47.51,-1.1,46.41,
,Placed,-9.55,...,-9.55,
,Placed,-4.26,...,-4.26,
300099074,Completed,195,-3.91,191.09,
300099073,Completed,87,-1.85,85.15,
,Placed,-2.49,...,-2.49,
300099071,Completed,51,-1.17,49.83,
,Placed,-3.82,...,-3.82,
,Placed,-1.54,...,-1.54,
300099070,Completed,77.95,-1.63,76.32,
,Placed,-1.95,...,-1.95,
300099069,Completed,31.5,-0.8,30.7,
300099068,Completed,40,-0.96,39.04,
,Placed,-1.51,...,-1.51,
300099067,Completed,30.98,-0.79,30.19,
,Placed,-2.39,...,-2.39,
