 Invoice Number, Status, Gross, Fee, Net, Reserve
300097890,Completed,106.2,-2.22,103.98,
300097889,Completed,37.26,-0.86,36.4,
300097888,Completed,18,-0.49,17.51,
300097887,Refunded,254.35,-4.98,249.37,
200000175,Completed,28.35,-0.69,27.66,
300097886,Completed,157.12,-3.14,153.98,
300097885,Completed,135,-3.44,131.56,
300097884,Completed,34.2,-0.85,33.35,
200000174,Refunded,11,-0.36,10.64,
300097883,Completed,35,-0.82,34.18,
300097874,Completed,40.5,-0.92,39.58,
300097882,Completed,184.04,-3.7,180.34,
300097881,Completed,68.04,-1.44,66.6,
300097880,Completed,142.56,-2.91,139.65,
300097879,Completed,66,-1.4,64.6,
300097878,Completed,45.36,-1.01,44.35,
300097877,Completed,28,-0.68,27.32,
300097876,Completed,54.31,-1.9,52.41,
300097875,Completed,139.75,-2.86,136.89,
300097873,Completed,37.8,-1.32,36.48,
300097872,Completed,15.3,-0.44,14.86,
200000173,Completed,30.6,-0.73,29.87,
300097871,Completed,67.5,-1.48,66.02,
,Completed,-6001.55,0,-6001.55,
300097870,Completed,24.3,-0.66,23.64,
300097869,Completed,41.04,-1.44,39.6,
200000172,Completed,53.46,-1.22,52.24,
300097868,Refunded,42,-0.95,41.05,
300097867,Partially Refunded,87.48,-1.81,85.67,
300097866,Completed,235,-4.67,230.33,
300097865,Completed,35,-1.23,33.77,
300097864,Completed,247.95,-4.91,243.04,
300097863,Completed,33.91,-0.84,33.07,
300097789,Completed,65.95,-1.4,64.55,
300097862,Completed,57.8,-1.3,56.5,
300097861,Completed,34.99,-0.86,34.13,
300097859,Completed,21.06,-0.6,20.46,
300097858,Completed,75.08,-1.63,73.45,
300097857,Completed,135,-2.77,132.23,
300097856,Completed,83.5,-1.74,81.76,
INV2-G3Z4-PZ6E-UGCV-VGPP,Completed,78,-2.88,75.12,
45161,Paid,78,0,78,
300097855,Completed,22.95,-0.59,22.36,
300097854,Completed,76,-1.64,74.36,
,Completed,3.8,0,3.8,
,Completed,-200,3.8,-196.2,
300097853,Completed,195,-6.83,188.17,
300097852,Completed,222.3,-4.42,217.88,
,Completed,1.46,0,1.46,
,Completed,-76.8,1.46,-75.34,
,Completed,2.58,0,2.58,
,Completed,-136.05,2.58,-133.47,
,Completed,1.22,0,1.22,
,Completed,-64,1.22,-62.78,
,Completed,2.63,0,2.63,
,Completed,-138.24,2.63,-135.61,
,Completed,0.55,0,0.55,
,Completed,-28.9,0.55,-28.35,
,Completed,0.46,0,0.46,
,Completed,-24,0.46,-23.54,
,Completed,-36,0,-36,
,Completed,-21,0,-21,
,Completed,0.97,0,0.97,
,Completed,-50.88,0.97,-49.91,
,Completed,-24,0,-24,
,Completed,-279.94,0,-279.94,
,Completed,0.27,0,0.27,
,Completed,-14,0.27,-13.73,
,Completed,0.34,0,0.34,
,Completed,-18,0.34,-17.66,
300097851,Completed,19.44,-0.57,18.87,
,Completed,-27,0,-27,
,Completed,0.76,0,0.76,
,Completed,-40,0.76,-39.24,
,Completed,3.15,0,3.15,
,Completed,-131.4,3.15,-128.25,
,Completed,0.6,0,0.6,
,Completed,-32,0.6,-31.4,
300097850,Completed,181.8,-3.65,178.15,
,Completed,0.11,0,0.11,
,Completed,-5.75,0.11,-5.64,
,Completed,0.61,0,0.61,
,Completed,-32,0.61,-31.39,
,Completed,-68,0,-68,
,Completed,2.11,0,2.11,
,Completed,-88,2.11,-85.89,
300097849,Completed,119.92,-2.48,117.44,
,Completed,0.68,0,0.68,
,Completed,-28.22,0.68,-27.54,
,Completed,0.68,0,0.68,
,Completed,-36,0.68,-35.32,
,Completed,0.34,0,0.34,
,Completed,-17.6,0.34,-17.26,
,Completed,2.66,0,2.66,
,Completed,-139.97,2.66,-137.31,
300097848,Completed,87,-1.85,85.15,
,Completed,0.23,0,0.23,
,Completed,-11.7,0.23,-11.47,
,Completed,0.11,0,0.11,
,Completed,-5.95,0.11,-5.84,
300097847,Completed,124.8,-2.52,122.28,
,Completed,2.71,0,2.71,
,Completed,-142.56,2.71,-139.85,
,Completed,0.57,0,0.57,
,Completed,-23.8,0.57,-23.23,
,Completed,0.24,0,0.24,
,Completed,-12.64,0.24,-12.4,
,Completed,0.57,0,0.57,
,Completed,-30,0.57,-29.43,
,Completed,0.53,0,0.53,
,Completed,-28,0.53,-27.47,
300097846,Completed,172,-3.47,168.53,
,Completed,0.55,0,0.55,
,Completed,-29,0.55,-28.45,
,Completed,0.6,0,0.6,
,Completed,-32.02,0.6,-31.42,
300097845,Completed,86.4,-1.84,84.56,
,Completed,206,-7.21,198.79,
300097844,Completed,206,-7.21,198.79,
300097843,Completed,13.6,-0.41,13.19,
300097842,Completed,67.5,-1.43,66.07,
300097841,Completed,144.5,-5.06,139.44,
,Completed,0.36,0,0.36,
,Completed,-15,0.36,-14.64,
,Completed,254.88,-5.04,249.84,
300097839,Completed,66.1,-2.31,63.79,
,Pending,72.5,0,72.5,
,Canceled,72.5,0,72.5,
300097838,Completed,85,-1.82,83.18,
,Canceled,72.5,0,72.5,
,Paid,15,0,15,
,Canceled,72.5,0,72.5,
,Pending,15,0,15,
,Paid,15,0,15,
,Pending,72.5,0,72.5,
,Pending,75,0,75,
300097836,Completed,254.88,-5.04,249.84,
300097835,Completed,119,-2.46,116.54,
300097834,Completed,280.8,-5.54,275.26,
200000171,Refunded,27,-0.71,26.29,
300097833,Completed,184.68,-3.71,180.97,
300097832,Completed,27.9,-0.73,27.17,
300097831,Completed,20.25,-0.53,19.72,
300097830,Completed,93.31,-1.97,91.34,
,Completed,40.8,-0.98,39.82,
,Completed,12.06,-0.43,11.63,
300097829,Completed,17.55,-0.53,17.02,
300097828,Completed,264.65,-9.26,255.39,
300097827,Completed,15.3,-0.44,14.86,
300097826,Completed,125,-4.38,120.62,
300097825,Completed,58,-1.3,56.7,
300097824,Completed,115.4,-2.34,113.06,
300097823,Completed,64.45,-1.42,63.03,
300097822,Completed,102.85,-2.62,100.23,
300097821,Completed,136,-4.76,131.24,
300097820,Completed,85,-1.82,83.18,
300097819,Completed,104.76,-3.67,101.09,
300097818,Completed,24,-0.84,23.16,
300097817,Completed,64,-1.42,62.58,
300097816,Completed,15,-0.49,14.51,
300097815,Completed,66.4,-1.46,64.94,
300097814,Completed,61.14,-1.31,59.83,
300097813,Completed,26.91,-0.94,25.97,
300097812,Completed,45.95,-1.07,44.88,
300097811,Held,235,-4.62,230.38,
300086580,Completed,319.68,-6.27,313.41,
300097810,Completed,57.8,-1.3,56.5,
300097809,Completed,68,-1.49,66.51,
300097808,Completed,57,-1.28,55.72,
300097807,Completed,8.5,-0.36,8.14,
300097806,Completed,104,-3.64,100.36,
300097805,Completed,44,-1.04,42.96,
300097804,Completed,26.1,-0.91,25.19,
300097802,Completed,127.99,-3.22,124.77,
300097803,Completed,839,-16.14,822.86,
300097801,Completed,13.61,-0.46,13.15,
300097800,Completed,9.18,-0.32,8.86,
300097799,Completed,75.07,-1.63,73.44,
300097798,Completed,438.18,-8.53,429.65,
300097797,Completed,59.96,-1.29,58.67,
300097796,Completed,145,-2.96,142.04,
300097794,Completed,34.95,-0.86,34.09,
300097793,Completed,8.5,-0.36,8.14,
300097792,Completed,198,-3.91,194.09,
300097791,Completed,117,-2.42,114.58,
300097790,Completed,57.38,-1.24,56.14,
300097788,Refunded,139.97,-2.81,137.16,
300097787,Completed,16,-0.5,15.5,
300097786,Completed,106,-2.16,103.84,
,Completed,-6738.91,0,-6738.91,
300097784,Completed,17.5,-0.48,17.02,
300097783,Completed,236.52,-4.69,231.83,
300097782,Completed,100,-2.05,97.95,
300097781,Completed,140.4,-2.82,137.58,
200000170,Completed,12.06,-0.43,11.63,
300097780,Refunded,142.56,-2.91,139.65,
300097779,Completed,53.46,-1.22,52.24,
300097778,Completed,77.35,-1.67,75.68,
300097777,Completed,124.75,-2.57,122.18,
300097775,Completed,137.95,-2.82,135.13,
300097774,Completed,53,-1.21,51.79,
300097773,Completed,15.99,-0.45,15.54,
300097772,Completed,77.76,-2.72,75.04,
300097771,Refunded,36,-1.26,34.74,
300097770,Completed,9.18,-0.32,8.86,
300097769,Completed,27.2,-0.72,26.48,
300097768,Completed,204,-4.08,199.92,
300097767,Completed,33.05,-0.83,32.22,
300097766,Completed,24.83,-0.67,24.16,
300097765,Completed,98,-2.06,95.94,
300097764,Completed,25,-0.68,24.32,
300097763,Completed,122,-2.52,119.48,
300097762,Completed,120,-2.48,117.52,
300097761,Completed,43.35,-1.02,42.33,
200000169,Completed,24.3,-0.66,23.64,
300097759,Completed,25,-0.63,24.37,
300097755,Completed,25.2,-0.63,24.57,
300097758,Completed,195.48,-6.84,188.64,
300097757,Completed,40.8,-0.98,39.82,
300097754,Completed,2,-0.19,1.81,
300097753,Completed,205.2,-4.1,201.1,
300097752,Completed,51.97,-1.19,50.78,
300097751,Completed,8.5,-0.31,8.19,
300097750,Completed,27.95,-0.73,27.22,
300097749,Completed,73,-1.59,71.41,
300097748,Completed,57,-1.28,55.72,
300097747,Completed,253.8,-8.88,244.92,
300097746,Completed,19.99,-0.7,19.29,
300097745,Completed,29.16,-0.75,28.41,
300097744,Completed,115.5,-2.39,113.11,
,Completed,113.85,-2.36,111.49,
,Completed,24,-0.66,23.34,
300097743,Completed,291.9,-7.16,284.74,
300097742,Refunded,279.94,-9.8,270.14,
300097741,Completed,26.35,-0.7,25.65,
300097740,Completed,28.9,-0.75,28.15,
300097739,Completed,433.8,-15.18,418.62,
300097738,Completed,46,-1.07,44.93,
300097737,Completed,8.5,-0.3,8.2,
300097736,Completed,44.28,-1.04,43.24,
300097735,Completed,306,-6.01,299.99,
300097734,Completed,36,-0.88,35.12,
300097733,Completed,123.25,-2.54,120.71,
300097732,Completed,54,-1.18,52.82,
300097731,Completed,33,-0.78,32.22,
300097730,Completed,41.95,-1,40.95,
300097729,Completed,79,-1.7,77.3,
300097728,Completed,55,-1.25,53.75,
300097727,Completed,25.5,-0.63,24.87,
300097726,Completed,8.5,-0.36,8.14,
300097725,Completed,217,-5.36,211.64,
300097724,Completed,24,-0.66,23.34,
300097723,Completed,36,-0.88,35.12,
300097722,Completed,123.25,-2.49,120.76,
300097721,Refunded,142,-3.56,138.44,
300097607,Completed,66.1,-1.41,64.69,
200000168,Completed,61.2,-1.31,59.89,
300097719,Completed,91.37,-1.94,89.43,
300097718,Completed,21.25,-0.55,20.7,
300097717,Completed,18,-0.49,17.51,
300097716,Completed,57,-1.52,55.48,
,Removed,-79.2,1.65,-77.55,
300097715,Completed,57.24,-1.24,56,
300097714,Partially Refunded,64.95,-1.43,63.52,
300097713,Completed,330,-8.07,321.93,
,Completed,-6678.42,0,-6678.42,
300097712,Completed,168,-4.18,163.82,
300097711,Completed,140,-4.9,135.1,
300097710,Completed,13.5,-0.46,13.04,
300097709,Completed,125.55,-2.54,123.01,
300097708,Completed,144,-2.94,141.06,
300097707,Completed,8.5,-0.3,8.2,
200000167,Completed,29.7,-0.71,28.99,
300097702,Completed,44.83,-1.05,43.78,
200000166,Completed,59.5,-1.33,58.17,
300097706,Completed,31.5,-0.75,30.75,
300097703,Completed,404.1,-9.85,394.25,
300097705,Completed,65,-2.28,62.72,
300097704,Completed,108,-3.78,104.22,
300097701,Completed,113.85,-2.36,111.49,
300097700,Completed,24.3,-0.66,23.64,
,Completed,0.68,0,0.68,
,Completed,-35.7,0.68,-35.02,
,Completed,0.18,0,0.18,
,Completed,-9.5,0.18,-9.32,
,Completed,0.91,0,0.91,
,Completed,-48,0.91,-47.09,
,Completed,-108,0,-108,
300097699,Completed,155.95,-3.16,152.79,
200000165,Completed,32.4,-0.82,31.58,
300097698,Completed,207.04,-7.25,199.79,
300097696,Completed,77.4,-1.67,75.73,
300097695,Completed,177.12,-6.2,170.92,
,Completed,5.76,0,5.76,
,Completed,-240,5.76,-234.24,
,Completed,1.26,0,1.26,
,Completed,-52.5,1.26,-51.24,
,Completed,0.32,0,0.32,
,Completed,-13.5,0.32,-13.18,
,Completed,0.36,0,0.36,
,Completed,-15,0.36,-14.64,
300097694,Completed,22.99,-0.64,22.35,
,Completed,1.44,0,1.44,
,Completed,-59.96,1.44,-58.52,
,Completed,0.8,0,0.8,
,Completed,-42,0.8,-41.2,
,Completed,-72.41,0,-72.41,
,Completed,0.56,0,0.56,
,Completed,-29.6,0.56,-29.04,
,Completed,0.68,0,0.68,
,Completed,-36,0.68,-35.32,
,Completed,0.32,0,0.32,
,Completed,-17,0.32,-16.68,
,Completed,0.86,0,0.86,
,Completed,-45,0.86,-44.14,
,Completed,2.66,0,2.66,
,Completed,-139.97,2.66,-137.31,
,Completed,0.84,0,0.84,
,Completed,-44.1,0.84,-43.26,
,Completed,0.86,0,0.86,
,Completed,-45.53,0.86,-44.67,
,Completed,-43,0,-43,
,Completed,0.18,0,0.18,
,Completed,-9.63,0.18,-9.45,
300097693,Completed,36.9,-0.9,36,
,Completed,0.25,0,0.25,
,Completed,-12.96,0.25,-12.71,
,Completed,0.53,0,0.53,
,Completed,-28,0.53,-27.47,
,Completed,3.72,0,3.72,
,Completed,-196.03,3.72,-192.31,
,Completed,2.77,0,2.77,
,Completed,-145.8,2.77,-143.03,
,Completed,1.06,0,1.06,
,Completed,-56,1.06,-54.94,
,Completed,0.48,0,0.48,
,Completed,-25,0.48,-24.52,
,Completed,1.03,0,1.03,
,Completed,-53.99,1.03,-52.96,
,Completed,0.11,0,0.11,
,Completed,-5.95,0.11,-5.84,
,Completed,0.28,0,0.28,
,Completed,-14.99,0.28,-14.71,
,Completed,0.1,0,0.1,
,Completed,-5.6,0.1,-5.5,
,Completed,0.33,0,0.33,
,Completed,-17.6,0.33,-17.27,
,Completed,0.13,0,0.13,
,Completed,-6.8,0.13,-6.67,
,Completed,0.21,0,0.21,
,Completed,-10.63,0.21,-10.42,
,Completed,2.06,0,2.06,
,Completed,-86,2.06,-83.94,
,Completed,0.55,0,0.55,
,Completed,-28.8,0.55,-28.25,
300097692,Completed,117.95,-2.44,115.51,
,Completed,0.41,0,0.41,
,Completed,-21.6,0.41,-21.19,
,Completed,21.95,-0.62,21.33,
,Completed,0.74,0,0.74,
,Completed,-38.88,0.74,-38.14,
,Completed,0.65,0,0.65,
,Completed,-34,0.65,-33.35,
300097691,Completed,48.9,-1.71,47.19,
300097690,Completed,168.5,-3.4,165.1,
300097689,Completed,71.91,-1.57,70.34,
300097688,Completed,21.95,-0.62,21.33,
300097687,Completed,149.25,-2.99,146.26,
300097686,Completed,58.88,-1.32,57.56,
300097684,Completed,30,-0.77,29.23,
300097683,Completed,26,-0.64,25.36,
300097682,Completed,8.5,-0.36,8.14,
300097681,Completed,192.24,-3.85,188.39,
300097680,Completed,347.33,-6.8,340.53,
300097678,Refunded,139.97,-2.81,137.16,
300097677,Completed,36,-1.26,34.74,
200000164,Completed,40,-1.4,38.6,
300097676,Completed,8.5,-0.36,8.14,
,Completed,3592,-125.72,3466.28,
300097674,Completed,3592,-125.72,3466.28,
300097672,Completed,118.08,-2.44,115.64,
300097671,Completed,225.95,-4.49,221.46,
300097670,Completed,194.4,-3.89,190.51,
300097669,Completed,58,-1.3,56.7,
300097668,Completed,93.95,-1.94,92.01,
300097667,Completed,49.11,-1.13,47.98,
300097666,Completed,56.13,-1.27,54.86,
300097665,Completed,8.5,-0.3,8.2,
300097664,Completed,185.19,-6.48,178.71,
300097663,Completed,40,-0.96,39.04,
,Refunded,36,-1.06,34.94,
,Completed,14.95,-0.48,14.47,
300097662,Completed,128.99,-2.65,126.34,
300097661,Completed,25.39,-0.68,24.71,
300097660,Refunded,50.88,-1.17,49.71,
300097659,Completed,114,-2.37,111.63,
300097658,Completed,22,-0.62,21.38,
,Placed,-172,3.42,-168.58,
,Placed,-49,1.08,-47.92,
300097657,Completed,14.95,-0.48,14.47,
300097656,Completed,341.28,-11.94,329.34,
300097655,Completed,128,-2.63,125.37,
300097654,Completed,28.9,-0.75,28.15,
300097653,Completed,225,-4.48,220.52,
,Completed,-63.55,-20,-83.55,
300097652,Completed,32,-0.81,31.19,
300097651,Completed,159,-3.17,155.83,
300097649,Completed,26,-0.69,25.31,
300097648,Completed,93.95,-3.29,90.66,
300097647,Completed,88,-1.87,86.13,
45160,Paid,166,0,166,
45159,Paid,20,0,20,
45158,Paid,99.88,0,99.88,
45157,Paid,57.6,0,57.6,
45156,Paid,22,0,22,
45155,Paid,25,0,25,
45154,Paid,30,0,30,
45153,Paid,242.54,0,242.54,
45152,Paid,109.36,0,109.36,
45151,Paid,75,0,75,
45150,Paid,152.24,0,152.24,
45149,Paid,42,0,42,
45148,Paid,80,0,80,
45147,Paid,215.83,0,215.83,
45146,Paid,75.6,0,75.6,
45145,Paid,260.64,0,260.64,
45144,Paid,156,0,156,
45143,Paid,102,0,102,
45142,Paid,80,0,80,
45141,Paid,40,0,40,
45140,Paid,126.18,0,126.18,
45139,Paid,93.36,0,93.36,
45138,Paid,155.2,0,155.2,
45137,Paid,82,0,82,
45136,Paid,84.62,0,84.62,
45135,Paid,160,0,160,
45134,Paid,293.25,0,293.25,
45133,Paid,85,0,85,
45132,Paid,78,0,78,
45131,Paid,59.4,0,59.4,
45130,Paid,25,0,25,
45129,Paid,166.52,0,166.52,
45128,Paid,13000,0,13000,
45127,Paid,172.61,0,172.61,
45126,Paid,65,0,65,
45125,Paid,75,0,75,
45124,Paid,39,0,39,
45123,Paid,67,0,67,
45122,Paid,132.92,0,132.92,
45121,Paid,144.72,0,144.72,
45120,Paid,85,0,85,
45119,Paid,112.13,0,112.13,
45115,Paid,1.08,0,1.08,
300097646,Completed,108.37,-2.21,106.16,
300097645,Refunded,38.7,-0.94,37.76,
300097644,Completed,109.35,-2.28,107.07,
300097643,Refunded,36,-1.06,34.94,
300097642,Completed,23.71,-0.65,23.06,
300097641,Partially Refunded,41.4,-0.94,40.46,
300097640,Completed,95,-1.96,93.04,
300097639,Completed,21,-0.6,20.4,
,Completed,15,-0.51,14.49,
300097637,Completed,34,-0.85,33.15,
300097635,Completed,8,-0.35,7.65,
200000163,Completed,17.5,-0.48,17.02,
300097634,Completed,17.5,-0.48,17.02,
300097633,Completed,150,-3.05,146.95,
300097632,Completed,34.83,-1.22,33.61,
300097631,Completed,81,-1.74,79.26,
300097630,Completed,84.24,-1.8,82.44,
300097628,Completed,49.95,-1.15,48.8,
300097627,Completed,144,-2.94,141.06,
300097626,Completed,26.5,-0.7,25.8,
300097625,Completed,138,-2.77,135.23,
,Removed,-1418.95,34.25,-1384.7,
300097624,Completed,104.95,-2.19,102.76,
,Completed,-6199.39,0,-6199.39,
300097623,Completed,19.8,-0.58,19.22,
,Canceled,7.21,0,7.21,
300097622,Completed,29.62,-0.76,28.86,
300097621,Completed,19.8,-0.53,19.27,
300097620,Completed,9.5,-0.33,9.17,
300097619,Completed,15.07,-0.49,14.58,
300097617,Completed,25.92,-0.64,25.28,
300097618,Completed,25.51,-0.68,24.83,
300097616,Completed,189,-6.62,182.38,
300097615,Completed,48.45,-1.07,47.38,
300097614,Completed,146.96,-2.99,143.97,
,Completed,2.48,0,2.48,
,Completed,-130.5,2.48,-128.02,
300097613,Completed,70.55,-1.54,69.01,
300097612,Completed,15,-0.49,14.51,
300097611,Completed,14,-0.42,13.58,
300097610,Completed,200.5,-3.96,196.54,
200000161,Completed,190.45,-3.82,186.63,
300097609,Completed,52,-1.19,50.81,
300097608,Completed,124.42,-2.56,121.86,
300097606,Completed,25,-0.68,24.32,
300097605,Completed,99,-2.08,96.92,
300097604,Completed,20.95,-0.6,20.35,
300097603,Completed,201,-4.02,196.98,
INV2-EYGY-LG8W-JM3Z-W7RL,Completed,166,-5.96,160.04,
45160,Paid,166,0,166,
300097602,Completed,40.5,-1.42,39.08,
300097601,Completed,30.6,-0.73,29.87,
300097599,Completed,83.81,-1.79,82.02,
300097598,Completed,7.2,-0.29,6.91,
300097597,Completed,76,-1.64,74.36,
300097596,Completed,28.45,-0.69,27.76,
300097595,Completed,114,-3.99,110.01,
300097594,Completed,33,-0.83,32.17,
300097593,Completed,83,-2.91,80.09,
300097592,Completed,31.32,-0.8,30.52,
300097591,Completed,84.24,-1.8,82.44,
300097590,Completed,29,-0.7,28.3,
INV2-E6QF-UQFJ-WL53-8SHW,Completed,20,-0.85,19.15,
45159,Paid,20,0,20,
300097589,Completed,29,-0.75,28.25,
300097588,Completed,34.99,-0.86,34.13,
300097587,Completed,210,-4.19,205.81,
300097586,Completed,107.46,-2.24,105.22,
300097584,Completed,12.5,-0.39,12.11,
300097585,Completed,36.72,-0.9,35.82,
300097583,Completed,55,-1.25,53.75,
300097582,Completed,22.95,-0.59,22.36,
300097581,Completed,19,-0.51,18.49,
300097580,Completed,71.95,-1.52,70.43,
300097579,Completed,206,-7.21,198.79,
,Completed,366.3,-7.16,359.14,
,Completed,226,-5.62,220.38,
300097578,Completed,24,-0.61,23.39,
300097577,Completed,30,-0.77,29.23,
300097574,Completed,55.9,-1.26,54.64,
300097572,Completed,86.4,-1.84,84.56,
300097571,Completed,31.95,-0.81,31.14,
300097570,Completed,98.4,-2.07,96.33,
300097569,Completed,106,-2.21,103.79,
300097568,Completed,16,-0.56,15.44,
300097567,Partially Refunded,73.44,-1.6,71.84,
300097566,Completed,122,-2.52,119.48,
300097565,Completed,26.5,-0.65,25.85,
300097564,Completed,57.6,-1.24,56.36,
300097563,Completed,26.1,-0.7,25.4,
300097562,Completed,33,-1.16,31.84,
300097561,Completed,77.76,-1.63,76.13,
300097560,Completed,27,-0.66,26.34,
300097558,Completed,30.24,-0.72,29.52,
300097559,Completed,118.05,-2.44,115.61,
300097557,Completed,22.36,-0.62,21.74,
300097556,Completed,70,-2.45,67.55,
200000160,Completed,62.9,-1.4,61.5,
300097555,Completed,55,-1.25,53.75,
,Completed,15,-0.51,14.49,
300097554,Completed,25.5,-0.89,24.61,
300097553,Completed,26,-0.69,25.31,
300097552,Completed,366.3,-7.16,359.14,
300097551,Completed,226,-5.62,220.38,
,Removed,-17.1,0.52,-16.58,
,Completed,72.5,-1.89,70.61,
300097550,Completed,42.77,-0.96,41.81,
,Completed,15,-0.51,14.49,
300097548,Completed,99.91,-2.05,97.86,
300097547,Completed,15.12,-0.44,14.68,
300097546,Completed,52.4,-1.83,50.57,
300097521,Completed,44,-0.99,43.01,
300097545,Completed,12,-0.42,11.58,
300097544,Completed,174.96,-3.52,171.44,
300097543,Completed,39.6,-0.95,38.65,
300097542,Completed,24.65,-0.62,24.03,
300097540,Completed,102,-2.65,99.35,
300097541,Completed,24,-0.61,23.39,
300097539,Completed,40.39,-0.92,39.47,
,Completed,-9020.1,0,-9020.1,
300097538,Completed,124.2,-2.56,121.64,
300097537,Completed,44,-1.54,42.46,
300097536,Completed,34,-0.85,33.15,
300097535,Completed,147.96,-2.96,145,
300097534,Completed,210.9,-4.21,206.69,
300097533,Refunded,96,-3.36,92.64,
300097532,Completed,72.25,-1.57,70.68,
300097531,Completed,48.6,-1.12,47.48,
300097529,Completed,45.6,-1.24,44.36,
300097528,Completed,104.95,-2.19,102.76,
300097527,Partially Refunded,70.85,-1.55,69.3,
,Completed,15,-0.51,14.49,
300097526,Completed,15,-0.49,14.51,
300097525,Completed,13,-0.4,12.6,
300097523,Completed,109.95,-2.29,107.66,
300097522,Completed,68,-1.49,66.51,
300097520,Completed,9,-0.32,8.68,
300097519,Completed,59.4,-1.28,58.12,
300097518,Completed,26.25,-0.7,25.55,
300097517,Completed,530.1,-10.27,519.83,
300097516,Completed,54,-1.23,52.77,
300097515,Partially Refunded,40.49,-0.97,39.52,
300097513,Completed,70.2,-1.53,68.67,
300097512,Completed,17,-0.52,16.48,
300097511,Completed,139.75,-2.86,136.89,
300097510,Completed,77.4,-1.67,75.73,
300097509,Completed,285.12,-5.62,279.5,
300097508,Completed,32.4,-0.82,31.58,
,Canceled,72.5,0,72.5,
300097507,Completed,51.97,-1.19,50.78,
,Paid,15,0,15,
,Paid,72.5,0,72.5,
,Canceled,72.5,0,72.5,
,Paid,15,0,15,
,Pending,72.5,0,72.5,
,Canceled,15,0,15,
,Canceled,72.5,0,72.5,
,Paid,15,0,15,
,Completed,2.21,0,2.21,
,Completed,-92,2.21,-89.79,
,Canceled,89.64,0,89.64,
300097506,Completed,141.37,-2.84,138.53,
300097505,Partially Refunded,136.08,-2.79,133.29,
300097504,Completed,58,-1.3,56.7,
300097503,Completed,51.84,-1.18,50.66,
300097502,Completed,26.1,-0.7,25.4,
300097501,Completed,68.04,-1.49,66.55,
300097500,Completed,57.75,-1.3,56.45,
300097499,Refunded,38.88,-0.94,37.94,
300097498,Completed,60,-1.34,58.66,
300097497,Completed,59.96,-1.29,58.67,
300097496,Completed,34,-0.85,33.15,
,Completed,3.15,0,3.15,
,Completed,-165.95,3.15,-162.8,
,Completed,0.48,0,0.48,
,Completed,-25.2,0.48,-24.72,
300097495,Completed,29.75,-0.72,29.03,
300097439,Completed,30.24,-0.72,29.52,
300097494,Completed,178.92,-3.6,175.32,
300097493,Completed,14,-0.47,13.53,
300097492,Completed,95.84,-3.35,92.49,
300097491,Completed,58.5,-1.31,57.19,
,Completed,189.55,-3.8,185.75,
300097490,Completed,189.55,-3.8,185.75,
300097489,Completed,898,-17.26,880.74,
300094229,Partially Refunded,62.1,-1.33,60.77,
,Completed,70.2,-1.53,68.67,
,Completed,111.9,-2.33,109.57,
300097488,Completed,204,-4.08,199.92,
300097487,Completed,76,-1.64,74.36,
300097486,Completed,174.96,-3.52,171.44,
300097485,Completed,100.5,-3.52,96.98,
300097484,Completed,53,-1.21,51.79,
300097483,Completed,70,-1.48,68.52,
300097481,Completed,112.91,-2.3,110.61,
300097482,Completed,111.9,-2.33,109.57,
300097480,Completed,34,-1.19,32.81,
300097478,Completed,37.95,-0.87,37.08,
300097479,Completed,24.3,-0.66,23.64,
300097477,Completed,39,-0.89,38.11,
300097476,Completed,34.02,-0.85,33.17,
300097475,Completed,146.75,-2.99,143.76,
300097474,Completed,70.2,-1.53,68.67,
300097473,Completed,9.5,-0.38,9.12,
,Completed,36,-0.88,35.12,
,Completed,61.84,-1.37,60.47,
,Completed,112.87,-2.34,110.53,
,Completed,110.59,-2.3,108.29,
300097472,Completed,82.5,-1.77,80.73,
300097471,Completed,33.05,-0.78,32.27,
300097470,Completed,30.6,-0.78,29.82,
300097469,Completed,39.6,-0.95,38.65,
300097468,Completed,55.25,-1.25,54,
300097466,Completed,70,-1.48,68.52,
300097467,Completed,222,-4.42,217.58,
300097465,Completed,75.6,-1.59,74.01,
300097461,Completed,59.67,-1.28,58.39,
300097464,Completed,40.15,-0.91,39.24,
300097462,Completed,29,-0.75,28.25,
300097460,Completed,132.19,-2.71,129.48,
300097459,Completed,143.95,-2.94,141.01,
,Completed,0.11,0,0.11,
,Completed,-5.6,0.11,-5.49,
300097458,Refunded,139.97,-2.81,137.16,
300097442,Completed,71.1,-1.5,69.6,
300097457,Completed,130,-3.27,126.73,
300097456,Completed,127.6,-2.62,124.98,
300097455,Partially Refunded,154.93,-3.09,151.84,
300097454,Completed,83,-1.78,81.22,
300097453,Completed,50.5,-1.16,49.34,
300097452,Completed,14.95,-0.48,14.47,
300097451,Completed,17,-0.52,16.48,
300097450,Completed,28.62,-0.74,27.88,
300097449,Completed,45.86,-1.07,44.79,
300097448,Completed,34.2,-0.85,33.35,
300097447,Completed,45,-1.06,43.94,
200000159,Completed,20.7,-0.54,20.16,
300097446,Completed,37.4,-0.91,36.49,
300097445,Completed,10.8,-0.41,10.39,
300097444,Completed,80,-2.8,77.2,
300097443,Completed,38.88,-0.94,37.94,
300097441,Completed,93.37,-1.97,91.4,
300097440,Completed,55,-1.25,53.75,
300097438,Completed,8.5,-0.36,8.14,
300097437,Completed,84,-1.75,82.25,
300097434,Refunded,59.96,-1.59,58.37,
300097435,Completed,118,-2.44,115.56,
