Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,Glam,"GLAM 15% off ",1,$66.00,$9.90,$56.10,$66.00,$9.90,$56.10
2015,glmn25,"Glo Minerals 25% off promo (Over $50)",33,"$2,393.00",$533.44,"$1,859.56","$2,393.00",$533.44,"$1,859.56"
2015,glocontour,"Glo Minerals Eye Contour Brush (Free Gift With $50 GloMinerals Purchase)",4,$418.00,$0.00,$418.00,$418.00,$0.00,$418.00
2015,GLSHINE,"Glo Minerals Lipgloss in Shine (Free with $50 Purchase)",1,$64.00,$0.00,$64.00,$64.00,$0.00,$64.00
2015,gmc2,"GM Collin Page Banner 20% (GMC2)",14,"$1,264.90",$245.00,"$1,019.90","$1,264.90",$245.00,"$1,019.90"
2015,gser,"Eminence Green Tea &amp; Guava Serum (Free with $200 Purchase)",1,$204.00,$0.00,$204.00,$204.00,$0.00,$204.00
2015,HPLGF,"Hydropeptide Purifying Mask Gift w/ $75",1,$218.00,$0.00,$218.00,$218.00,$0.00,$218.00
2015,HUAREN20,"Deals.Huaren.us 20% off  Clarisonic Mia Skin Cleansing System",3,$297.00,$59.40,$237.60,$297.00,$59.40,$237.60
2015,IMAGE,"15% off Image Skincare no expiration &quot;IMAGE&quot;",197,"$19,332.76","$2,651.35","$16,681.41","$19,332.76","$2,651.35","$16,681.41"
2015,j4you,"J4YOU 15% - 1 TIME USE",8,"$1,649.55",$193.38,"$1,456.17","$1,649.55",$193.38,"$1,456.17"
2015,JFY15,"JFY15 15% - 1 TIME USE",1,$82.50,$12.38,$70.12,$82.50,$12.38,$70.12
2015,jjacb25,"June Jacobs 25% Off Landing Page Code",15,"$1,371.00",$342.75,"$1,028.25","$1,371.00",$342.75,"$1,028.25"
2015,lbdnude,"La Bella Don Nude Lipstick (FREE Gift with $75 Purchase)",2,$201.00,$0.00,$201.00,$201.00,$0.00,$201.00
2015,lbdplat,"La Bella Don Platinum Eyeshadow (FREE Gift with $50 Purchase)",2,$110.00,$0.00,$110.00,$110.00,$0.00,$110.00
2015,LIFECARE15,"LifeCare.com Affiliate Delaine",3,$413.00,$61.95,$351.05,$413.00,$61.95,$351.05
2015,Lipbalm,"Eminence Organics Citrus Lip Balm (FREE Gift with $50 Purchase)",4,$890.00,$0.00,$890.00,$890.00,$0.00,$890.00
2015,mcvtk,"Popup - Free Image Vital C Kit over $75",14,"$2,206.71",$0.00,"$2,206.71","$2,206.71",$0.00,"$2,206.71"
2015,mday1,"15% off Mothers Day 2015",253,"$16,868.31","$2,502.24","$14,366.07","$16,868.31","$2,502.24","$14,366.07"
2015,mday2,"20% off $150+ Mothers day 2015",165,"$40,169.72","$7,687.03","$32,482.69","$40,169.72","$7,687.03","$32,482.69"
2015,MDK8SB,"Medik8 10% off (Landing Page)",18,"$2,692.40",$236.70,"$2,455.70","$2,692.40",$236.70,"$2,455.70"
2015,mem2,"Memorial day $20 off $100+",75,"$9,313.36","$1,497.50","$7,815.86","$9,313.36","$1,497.50","$7,815.86"
2015,MEM4,"Memorial day $40 off $200+",16,"$3,475.30",$640.00,"$2,835.30","$3,475.30",$640.00,"$2,835.30"
2015,MEM5,"Memorial day $50 off $250+",4,"$1,023.00",$200.00,$823.00,"$1,023.00",$200.00,$823.00
2015,mem7,"Memorial day $75 off $300+",15,"$5,057.80","$1,125.00","$3,932.80","$5,057.80","$1,125.00","$3,932.80"
2015,MH20,"Mad Hippie 20% Off",4,$143.95,$28.80,$115.15,$143.95,$28.80,$115.15
