Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,GMC2,"GM Collin Page Banner 20% (GMC2)",3,$346.50,$50.40,$296.10,$346.50,$50.40,$296.10
2015,gser,"Eminence Green Tea &amp; Guava Serum (Free with $200 Purchase)",2,$434.00,$0.00,$434.00,$434.00,$0.00,$434.00
2015,HESER,"Eminence Organic Herbal Spot Serum (Free with 200 Purchase)",1,$220.00,$0.00,$220.00,$220.00,$0.00,$220.00
2015,hplgf,"Hydropeptide Purifying Mask Gift w/ $75",3,$379.00,$0.00,$379.00,$379.00,$0.00,$379.00
2015,IMAGE,"15% off Image Skincare no expiration &quot;IMAGE&quot;",160,"$15,551.60","$2,219.85","$13,331.75","$15,551.60","$2,219.85","$13,331.75"
2015,ISCLEANSING,"iSClinical Cleansing Complex 2oz (FREE Gift with $100 Purchase)",1,$159.00,$0.00,$159.00,$159.00,$0.00,$159.00
2015,J4YOU,"J4YOU 15% - 1 TIME USE",3,$722.90,$99.74,$623.16,$722.90,$99.74,$623.16
2015,jjacb25,"June Jacobs 25% Off Landing Page Code",6,$450.00,$112.50,$337.50,$450.00,$112.50,$337.50
2015,JMRET1," Jan Marini Postcard #16 15% off!",1,$30.00,$4.50,$25.50,$30.00,$4.50,$25.50
2015,JMRET2,"Jan Marini Postcard #16 20% off $119+!",2,$379.00,$68.60,$310.40,$379.00,$68.60,$310.40
2015,lbdnude,"La Bella Don Nude Lipstick (FREE Gift with $75 Purchase)",2,$363.00,$0.00,$363.00,$363.00,$0.00,$363.00
2015,LBDPLAT,"La Bella Don Platinum Eyeshadow (FREE Gift with $50 Purchase)",1,$55.00,$0.00,$55.00,$55.00,$0.00,$55.00
2015,LBDSP1,"la bella donna postcard #16 15% Off!",10,$618.50,$90.54,$527.96,$618.50,$90.54,$527.96
2015,LBDSP2,"la bella donna postcard #16 20% off $199+",2,$363.00,$72.60,$290.40,$363.00,$72.60,$290.40
2015,lipbalm,"Eminence Organics Citrus Lip Balm (FREE Gift with $50 Purchase)",4,$617.00,$0.00,$617.00,$617.00,$0.00,$617.00
2015,LKEMARCH2,"ilike postcard #16 20% off $119!",5,"$1,298.90",$226.20,"$1,072.70","$1,298.90",$226.20,"$1,072.70"
2015,mcvtk,"Popup - Free Image Vital C Kit over $75",11,"$1,498.20",$0.00,"$1,498.20","$1,498.20",$0.00,"$1,498.20"
2015,MDK8SB,"Medik8 10% off (Landing Page)",2,$136.00,$13.60,$122.40,$136.00,$13.60,$122.40
2015,MH20,"Mad Hippie 20% Off",1,$105.99,$6.80,$99.19,$105.99,$6.80,$99.19
2015,MILKCLEANSE,"Epicuren Milk Cleanser 2oz (Free Gift with $85 Purchase)",7,$892.00,$0.00,$892.00,$892.00,$0.00,$892.00
2015,MINTSCRUB,"Eminence Organics Scrub Cucumber Mint Scrub (FREE Gift with $200 Purchase)",1,$213.00,$0.00,$213.00,$213.00,$0.00,$213.00
2015,MSMARCH1,"Osmosis Postcard 15% Off!",4,$327.00,$49.05,$277.95,$327.00,$49.05,$277.95
2015,MSMARCH2,"Osmosis Postcard 20% Off $119+!",9,"$2,148.00",$429.60,"$1,718.40","$2,148.00",$429.60,"$1,718.40"
2015,OBWASH,"Oxygen Botanicals Antiseptic Wash 2oz (Free with $50 Purchase) ",3,$213.60,$0.00,$213.60,$213.60,$0.00,$213.60
2015,Paddy1,"St. Patricks Day 15%",134,"$8,167.96","$1,210.42","$6,957.54","$8,167.96","$1,210.42","$6,957.54"
2015,paddy2,"St. Patricks Day 20% Off $125+!",112,"$20,608.07","$3,977.36","$16,630.71","$20,608.07","$3,977.36","$16,630.71"
2015,parfait77,"Rhonda Allison Pumpkin Parfait Enzyme .5oz (Free Gift With $100 Purchase)",2,$208.00,$0.00,$208.00,$208.00,$0.00,$208.00
2015,PMDLVE,"20% off PMD Landing PAge",5,$597.00,$119.40,$477.60,$597.00,$119.40,$477.60
2015,RADROPS,"Rhonda Allison Drops of Essence 1.7 (Free Gift with $200 Purchase)",11,"$2,573.50",$0.00,"$2,573.50","$2,573.50",$0.00,"$2,573.50"
2015,RAGROWTH,"Rhonda Allison Growth Factor Plus 0.25oz (Free Gift with $125)",9,"$1,275.00",$0.00,"$1,275.00","$1,275.00",$0.00,"$1,275.00"
2015,RAPUMPKIN,"Rhonda Allison Pumpkin Cleanser 1oz (Free with $50 Purchase)",58,"$4,623.85",$0.00,"$4,623.85","$4,623.85",$0.00,"$4,623.85"
2015,RHNY1,"Rhonda Allison Postcard #16 15% off",40,"$2,445.95",$366.89,"$2,079.06","$2,445.95",$366.89,"$2,079.06"
2015,RHNY2,"Rhonda Allison Postcard #16 20% off $199+",35,"$7,000.20","$1,400.04","$5,600.16","$7,000.20","$1,400.04","$5,600.16"
2015,roselave,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",6,$494.96,$0.00,$494.96,$494.96,$0.00,$494.96
2015,save10,"New Customer Business Card Code 10%",124,"$10,753.35","$1,050.71","$9,702.64","$10,753.35","$1,050.71","$9,702.64"
2015,SAVE10CJ,"SAVE10CJ - 10% off any order ",129,"$9,025.33",$884.46,"$8,140.87","$9,025.33",$884.46,"$8,140.87"
2015,SMSDC,"Osmosis Free Gift Deep Clean!",1,$199.00,$0.00,$199.00,$199.00,$0.00,$199.00
2015,SOCIAL,"Social Sharing 5% Coupon (ask Jared)",1,$27.90,$1.40,$26.50,$27.90,$1.40,$26.50
2015,soyscrub,"Eminence Organics Scrub Blueberry Soy Scrub (FREE Gift with $200 Purchase)",1,$222.00,$0.00,$222.00,$222.00,$0.00,$222.00
2015,SRRY25,"DHL Mess Up Code",2,$458.40,$114.60,$343.80,$458.40,$114.60,$343.80
2015,STSER,"Eminence Organic Stone Crop Serum (Free with $200 Purchase)",1,$208.00,$0.00,$208.00,$208.00,$0.00,$208.00
2015,tgbshh,"FREE Trilogy Aromatic Body Oil 3.3oz",2,$141.90,$0.00,$141.90,$141.90,$0.00,$141.90
2015,thanku,"Returning Customer Business Card Code 10% off!",55,"$4,206.05",$419.17,"$3,786.88","$4,206.05",$419.17,"$3,786.88"
2015,TROPLAVE,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",4,$339.00,$0.00,$339.00,$339.00,$0.00,$339.00
2015,VITALC1,"Image Postcard 16 - 15% Off",7,$541.10,$81.18,$459.92,$541.10,$81.18,$459.92
2015,VITALC2,"Image Postcard 16 - 20% Off Over $125",9,"$2,706.90",$541.38,"$2,165.52","$2,706.90",$541.38,"$2,165.52"
2015,XCAL1,"Postcard #16 15% off OxygenBotanicals",6,$489.90,$70.81,$419.09,$489.90,$70.81,$419.09
2015,XCAL2,"Postcard #16 20% off OxygenBotanicals",5,$728.50,$144.10,$584.40,$728.50,$144.10,$584.40
2015,YBLVE2,"Youngblood 20% Off Promo",43,"$4,265.91",$774.60,"$3,491.31","$4,265.91",$774.60,"$3,491.31"
Total,,,1524,"$166,960.93","$21,698.73","$145,262.20","$166,960.93","$21,698.73","$145,262.20"
