Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,JJACB25,"June Jacobs 25% Off Landing Page Code",10,"$1,224.00",$306.00,$918.00,"$1,224.00",$306.00,$918.00
2015,LBDNUDE,"La Bella Don Nude Lipstick (FREE Gift with $75 Purchase)",3,$493.50,$0.00,$493.50,$493.50,$0.00,$493.50
2015,LIPBALM,"Eminence Organics Citrus Lip Balm (FREE Gift with $50 Purchase)",8,$822.50,$0.00,$822.50,$822.50,$0.00,$822.50
2015,MCVTK,"Popup - Free Image Vital C Kit over $75",6,$711.50,$0.00,$711.50,$711.50,$0.00,$711.50
2015,MH20,"Mad Hippie 20% Off",1,$33.99,$6.80,$27.19,$33.99,$6.80,$27.19
2015,MILKCLEANSE,"Epicuren Milk Cleanser 2oz (Free Gift with $85 Purchase)",7,"$1,119.00",$0.00,"$1,119.00","$1,119.00",$0.00,"$1,119.00"
2015,MIMOSASCRUB,"Eminence Organics Scrub Mimosa Champagne Scrub (FREE Gift with $200 Purchase)",1,$567.00,$0.00,$567.00,$567.00,$0.00,$567.00
2015,MLAG72,"15% Off New Leads",224,"$19,005.80","$2,810.62","$16,195.18","$19,005.80","$2,828.61","$16,177.19"
2015,More,"New Year 2015 Sale 10% Off (MORE)",58,"$2,724.15",$269.62,"$2,454.53","$2,724.15",$269.62,"$2,454.53"
2015,more2,"New Year 2015 Sale $20 Off $100 (MORE2)",45,"$5,470.42",$900.00,"$4,570.42","$5,470.42",$900.00,"$4,570.42"
2015,MORE3,"New Year 2015 Sale $30 Off $150 (MORE3)",28,"$4,704.50",$840.00,"$3,864.50","$4,704.50",$840.00,"$3,864.50"
2015,more4,"New Year 2015 Sale $40 Off $200 (MORE4)",27,"$7,117.75","$1,080.00","$6,037.75","$7,117.75","$1,080.00","$6,037.75"
2015,obagifix,"Obagi 30% off",1,$217.00,$65.10,$151.90,$217.00,$65.10,$151.90
2015,Obwash,"Oxygen Botanicals Antiseptic Wash 2oz (Free with $50 Purchase) ",2,$139.50,$0.00,$139.50,$139.50,$0.00,$139.50
2015,Pf210,"Pure Fiji Travel Body Set (Free with $75 Purchase)",2,$222.00,$0.00,$222.00,$222.00,$0.00,$222.00
2015,PPYSCRUB,"Eminence Organics Scrub Pear &amp; Poppy Seed Scrub (FREE Gift with $200 Purchase)",1,$204.00,$0.00,$204.00,$204.00,$0.00,$204.00
2015,PSTTRT,"Image SkinCare Post Treatment Trial Kit (Free Gift with $75)",1,$105.40,$0.00,$105.40,$105.40,$0.00,$105.40
2015,RADROPS,"Rhonda Allison Drops of Essence 1.7 (Free Gift with $200 Purchase)",6,"$1,412.39",$0.00,"$1,412.39","$1,412.39",$0.00,"$1,412.39"
2015,ragrowth,"Rhonda Allison Growth Factor Plus 0.25oz (Free Gift with $125)",15,"$2,259.50",$0.00,"$2,259.50","$2,259.50",$0.00,"$2,259.50"
2015,Rapumpkin,"Rhonda Allison Pumpkin Cleanser 1oz (Free with $50 Purchase)",48,"$3,960.00",$0.00,"$3,960.00","$3,960.00",$0.00,"$3,960.00"
2015,RATR25,"25% TRIA RACHEL CODE",2,"$17,325.00","$4,331.25","$12,993.75","$17,325.00","$4,331.25","$12,993.75"
2015,replace2," 20% replace2 ",1,$577.50,$115.50,$462.00,$577.50,$115.50,$462.00
2015,reveal15,"Storewide 15% off code &quot;reveal15&quot;",16,"$1,261.20",$189.19,"$1,072.01","$1,261.20",$189.19,"$1,072.01"
2015,RHNY1,"Rhonda Allison Postcard #16 15% off",35,"$2,037.45",$305.62,"$1,731.83","$2,037.45",$305.62,"$1,731.83"
2015,RHNY2,"Rhonda Allison Postcard #16 20% off $199+",24,"$4,015.20",$794.24,"$3,220.96","$4,015.20",$794.24,"$3,220.96"
2015,roselave,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",5,$252.00,$0.00,$252.00,$252.00,$0.00,$252.00
2015,save10,"Business Card Code 10%",151,"$14,381.50","$1,426.83","$12,954.67","$14,381.50","$1,426.83","$12,954.67"
2015,SAVE10CJ,"SAVE10CJ - 10% off any order - 3x Use - CJ",3,$159.00,$15.90,$143.10,$159.00,$15.90,$143.10
2015,SMSS15,"Osmosis Optin Code 15%",4,"$1,117.00",$167.55,$949.45,"$1,117.00",$167.55,$949.45
2015,SOCIAL,"Social Sharing 5% Coupon (ask Jared)",3,$92.00,$4.60,$87.40,$92.00,$4.60,$87.40
2015,STORE15,"Alana's Storewide 15%",7,"$1,050.50",$138.38,$912.12,"$1,050.50",$138.38,$912.12
2015,STSER,"Eminence Organic Stone Crop Serum (Free with $200 Purchase)",1,$209.95,$0.00,$209.95,$209.95,$0.00,$209.95
2015,systems,"20% off Systems",7,"$4,398.00",$879.60,"$3,518.40","$4,398.00",$879.60,"$3,518.40"
2015,TGAB,"Trilogy Aromatic Body Oil 3.3oz (Free Gift with $75 Purchase)",2,$534.00,$0.00,$534.00,$534.00,$0.00,$534.00
2015,THANKU,"Returning Customer Business Card Code 10% off!",41,"$3,076.95",$306.10,"$2,770.85","$3,076.95",$306.10,"$2,770.85"
2015,trawen20,"20% TRIA WENDY CODE",2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2015,TrialA,"Image Skincare Ageless Trial Kit (Free with $100 Purchase)",1,$107.00,$0.00,$107.00,$107.00,$0.00,$107.00
2015,TRIALV,"Image Skincare Vital C Trial Kit (Free with $100 Purchase)",5,$934.70,$0.00,$934.70,$934.70,$0.00,$934.70
2015,TROPLAVE,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",3,$158.00,$0.00,$158.00,$158.00,$0.00,$158.00
2015,VITALC1,"Image Postcard 16 - 15% Off",8,$541.40,$78.53,$462.87,$541.40,$78.53,$462.87
2015,vitalc2,"Image Postcard 16 - 20% Off Over $125",2,$298.00,$54.00,$244.00,$298.00,$54.00,$244.00
2015,vsgel,"Vivant Skincare BP %10 Gel 2oz (Free with $50 Purchase)",1,$123.50,$0.00,$123.50,$123.50,$0.00,$123.50
2015,YBDSave,"15% off Youngblood products YBDSAVE",1,$24.00,$3.60,$20.40,$24.00,$3.60,$20.40
2015,YBLVE2,"Youngblood 20% Off Promo",38,"$3,371.00",$619.80,"$2,751.20","$3,371.00",$619.80,"$2,751.20"
Total,,,1625,"$190,926.84","$27,065.67","$163,861.17","$190,926.84","$27,083.66","$163,843.18"
