Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2014,rapumpkin,"Rhonda Allison Pumpkin Cleanser 1oz (Free with $50 Purchase)",13,$932.50,$0.00,$932.50,$932.50,$0.00,$932.50
2014,ROSELAVE,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",2,$134.00,$0.00,$134.00,$134.00,$0.00,$134.00
2014,save10,"Business Card Code 10%",39,"$3,219.20",$318.81,"$2,900.39","$3,219.20",$318.81,"$2,900.39"
2014,save10cj,"SAVE10CJ - 10% off any order - 3x Use - CJ",14,$969.40,$96.94,$872.46,$969.40,$96.94,$872.46
2014,SCSKTT,"August Vendor Email 15% off SkinScript!",3,$112.00,$16.80,$95.20,$112.00,$16.80,$95.20
2014,Smss15,"Osmosis Optin Code 15%",1,$28.00,$4.20,$23.80,$28.00,$4.20,$23.80
2014,store15,"Alana's Storewide 15%",9,$908.05,$136.21,$771.84,$892.05,$133.81,$758.24
2014,stser,"Eminence Organic Stone Crop Serum (Free with $200 Purchase)",1,$212.00,$0.00,$212.00,$212.00,$0.00,$212.00
2014,tmtrvl,"August Vendor Email 15% off Tokyo Milk!",2,$92.00,$13.80,$78.20,$92.00,$13.80,$78.20
2014,trawen20,"20% TRIA WENDY CODE",1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2014,TRLRAD,"Trilogy Instant Radiance Collection (Free with $50 Purchase)",1,$58.00,$0.00,$58.00,$58.00,$0.00,$58.00
2014,UPSELLAUG10,"Affiliate UpSellIt 10% off Store Wide Auguest",1,$78.00,$7.80,$70.20,$0.00,$0.00,$0.00
2014,VNTCRCT2,"August Vendor Email 20% off Vivant $125+!",1,$151.95,$24.40,$127.55,$151.95,$24.40,$127.55
2014,VSGEL,"Vivant Skincare BP %10 Gel 2oz (Free with $50 Purchase)",1,$62.50,$0.00,$62.50,$62.50,$0.00,$62.50
2014,Xybt15,"Oxygen Botanicals Popup LHS Code (15% off)",1,$49.60,$7.44,$42.16,$49.60,$7.44,$42.16
2014,YBCM,"Youngblood Postcard 14 15% off Young Blood",2,$128.00,$19.20,$108.80,$128.00,$19.20,$108.80
2014,ybdsave,"15% off Youngblood products YBDSAVE",1,$66.00,$9.90,$56.10,$66.00,$9.90,$56.10
2014,YBLVE2,"Youngblood 20% Off Promo",9,$785.75,$139.50,$646.25,$785.75,$139.50,$646.25
Total,,,475,"$52,701.19","$7,037.12","$45,664.07","$51,637.19","$6,879.74","$44,757.45"
